"Accession"	"Description"	"Gene"	"Uniprot"	"Family"	"Score"	"Coverage"	"X..Proteins"	"X..Unique.Peptides"	"X..Peptides"	"X..PSMs"	"Area"	"X..AAs"	"MW..kDa."	"calc..pI"	"cellLine"	"replicate"	"referenceSample"	"refSampleReplicate"	"ratio"	"variability"	"count"	"condition"	"log2ratio"
"A8MYT4"	"Phosphatidylinositol 3-kinase catalytic subunit type 3 OS"	"PIK3C3"	"PK3C3"	"Metabolic"	4.75	"2.18%"	4	2	2	2	29200000	824	94.3	6.64	"Syn5"	2	"Syn1"	3	1.113	4.2	2	"Syn5_2/Syn1_3"	0.154453592679872
"A8MYT4"	"Phosphatidylinositol 3-kinase catalytic subunit type 3 OS"	"PIK3C3"	"PK3C3"	"Metabolic"	4.75	"2.18%"	4	2	2	2	29200000	824	94.3	6.64	"Syn5"	3	"Syn1"	1	1.043	25.6	2	"Syn5_3/Syn1_1"	0.0607391578576785
"A8MYT4"	"Phosphatidylinositol 3-kinase catalytic subunit type 3 OS"	"PIK3C3"	"PK3C3"	"Metabolic"	4.75	"2.18%"	4	2	2	2	29200000	824	94.3	6.64	"Syn5"	3	"Syn1"	2	0.789	5.2	2	"Syn5_3/Syn1_2"	-0.341902794648628
"A8MYT4"	"Phosphatidylinositol 3-kinase catalytic subunit type 3 OS"	"PIK3C3"	"PK3C3"	"Metabolic"	4.75	"2.18%"	4	2	2	2	29200000	824	94.3	6.64	"Syn5"	3	"Syn1"	3	1.044	5.5	2	"Syn5_3/Syn1_3"	0.0621217119077975
"B1AR62"	"Hexokinase-1 (Fragment) OS"	"HK1"	"HXK1"	"Metabolic"	0	"7.02%"	5	1	1	1	NA	114	13	6.95	"Syn1"	2	"Syn1"	1	1.162	NA	1	"Syn1_2/Syn1_1"	0.216610068742442
"B1AR62"	"Hexokinase-1 (Fragment) OS"	"HK1"	"HXK1"	"Metabolic"	0	"7.02%"	5	1	1	1	NA	114	13	6.95	"Syn1"	3	"Syn1"	1	0.924	NA	1	"Syn1_3/Syn1_1"	-0.114035243246029
"B1AR62"	"Hexokinase-1 (Fragment) OS"	"HK1"	"HXK1"	"Metabolic"	0	"7.02%"	5	1	1	1	NA	114	13	6.95	"Syn5"	1	"Syn1"	1	1.134	NA	1	"Syn5_1/Syn1_1"	0.181420640280142
"B1AR62"	"Hexokinase-1 (Fragment) OS"	"HK1"	"HXK1"	"Metabolic"	0	"7.02%"	5	1	1	1	NA	114	13	6.95	"Syn5"	1	"Syn1"	2	0.934	NA	1	"Syn5_1/Syn1_2"	-0.0985055449524251
"B1AR62"	"Hexokinase-1 (Fragment) OS"	"HK1"	"HXK1"	"Metabolic"	0	"7.02%"	5	1	1	1	NA	114	13	6.95	"Syn5"	1	"Syn1"	3	0.943	NA	1	"Syn5_1/Syn1_3"	-0.0846703239869906
"B1AR62"	"Hexokinase-1 (Fragment) OS"	"HK1"	"HXK1"	"Metabolic"	0	"7.02%"	5	1	1	1	NA	114	13	6.95	"Syn5"	2	"Syn1"	1	0.955	NA	1	"Syn5_2/Syn1_1"	-0.0664273617389761
"B1AR62"	"Hexokinase-1 (Fragment) OS"	"HK1"	"HXK1"	"Metabolic"	0	"7.02%"	5	1	1	1	NA	114	13	6.95	"Syn5"	2	"Syn1"	2	0.796	NA	1	"Syn5_2/Syn1_2"	-0.329159664118438
"B1AR62"	"Hexokinase-1 (Fragment) OS"	"HK1"	"HXK1"	"Metabolic"	0	"7.02%"	5	1	1	1	NA	114	13	6.95	"Syn5"	2	"Syn1"	3	0.781	NA	1	"Syn5_2/Syn1_3"	-0.356605546520108
"B1AR62"	"Hexokinase-1 (Fragment) OS"	"HK1"	"HXK1"	"Metabolic"	0	"7.02%"	5	1	1	1	NA	114	13	6.95	"Syn5"	3	"Syn1"	1	1.24	NA	1	"Syn5_3/Syn1_1"	0.31034012061215
"B1AR62"	"Hexokinase-1 (Fragment) OS"	"HK1"	"HXK1"	"Metabolic"	0	"7.02%"	5	1	1	1	NA	114	13	6.95	"Syn5"	3	"Syn1"	2	1.015	NA	1	"Syn5_3/Syn1_2"	0.0214797274104514
"B1AR62"	"Hexokinase-1 (Fragment) OS"	"HK1"	"HXK1"	"Metabolic"	0	"7.02%"	5	1	1	1	NA	114	13	6.95	"Syn5"	3	"Syn1"	3	1.053	NA	1	"Syn5_3/Syn1_3"	0.0745054363636298
"B1AVT0"	"Dual-specificity protein kinase CLK2 OS"	"CLK2"	"CLK2"	"CMGC"	20.45	"11.27%"	2	6	6	10	2.95e+08	497	59.8	9.66	"Syn1"	2	"Syn1"	1	1.18	11.9	7	"Syn1_2/Syn1_1"	0.238786859587116
"B1AVT0"	"Dual-specificity protein kinase CLK2 OS"	"CLK2"	"CLK2"	"CMGC"	20.45	"11.27%"	2	6	6	10	2.95e+08	497	59.8	9.66	"Syn1"	3	"Syn1"	1	0.81	38.4	7	"Syn1_3/Syn1_1"	-0.3040061868901
"B1AVT0"	"Dual-specificity protein kinase CLK2 OS"	"CLK2"	"CLK2"	"CMGC"	20.45	"11.27%"	2	6	6	10	2.95e+08	497	59.8	9.66	"Syn5"	1	"Syn1"	1	1.315	31	7	"Syn5_1/Syn1_1"	0.395062799517578
"B1AVT0"	"Dual-specificity protein kinase CLK2 OS"	"CLK2"	"CLK2"	"CMGC"	20.45	"11.27%"	2	6	6	10	2.95e+08	497	59.8	9.66	"Syn5"	1	"Syn1"	2	0.793	23.9	7	"Syn5_1/Syn1_2"	-0.334607228958109
"B1AVT0"	"Dual-specificity protein kinase CLK2 OS"	"CLK2"	"CLK2"	"CMGC"	20.45	"11.27%"	2	6	6	10	2.95e+08	497	59.8	9.66	"Syn5"	1	"Syn1"	3	1.368	15.2	7	"Syn5_1/Syn1_3"	0.452068230223811
"B1AVT0"	"Dual-specificity protein kinase CLK2 OS"	"CLK2"	"CLK2"	"CMGC"	20.45	"11.27%"	2	6	6	10	2.95e+08	497	59.8	9.66	"Syn5"	2	"Syn1"	1	1.202	27.5	7	"Syn5_2/Syn1_1"	0.265436896049098
"B1AVT0"	"Dual-specificity protein kinase CLK2 OS"	"CLK2"	"CLK2"	"CMGC"	20.45	"11.27%"	2	6	6	10	2.95e+08	497	59.8	9.66	"Syn5"	2	"Syn1"	2	0.707	34.9	7	"Syn5_2/Syn1_2"	-0.500217879852688
"B1AVT0"	"Dual-specificity protein kinase CLK2 OS"	"CLK2"	"CLK2"	"CMGC"	20.45	"11.27%"	2	6	6	10	2.95e+08	497	59.8	9.66	"Syn5"	2	"Syn1"	3	1.172	8.2	7	"Syn5_2/Syn1_3"	0.228972569760161
"B1AVT0"	"Dual-specificity protein kinase CLK2 OS"	"CLK2"	"CLK2"	"CMGC"	20.45	"11.27%"	2	6	6	10	2.95e+08	497	59.8	9.66	"Syn5"	3	"Syn1"	1	1.713	90.3	7	"Syn5_3/Syn1_1"	0.776525151421912
"B1AVT0"	"Dual-specificity protein kinase CLK2 OS"	"CLK2"	"CLK2"	"CMGC"	20.45	"11.27%"	2	6	6	10	2.95e+08	497	59.8	9.66	"Syn5"	3	"Syn1"	2	0.97	27.4	7	"Syn5_3/Syn1_2"	-0.0439433475875971
"B1AVT0"	"Dual-specificity protein kinase CLK2 OS"	"CLK2"	"CLK2"	"CMGC"	20.45	"11.27%"	2	6	6	10	2.95e+08	497	59.8	9.66	"Syn5"	3	"Syn1"	3	1.477	60.8	7	"Syn5_3/Syn1_3"	0.562669826102702
"B3KTB2"	"Ephrin type-B receptor 1 OS"	"EPHB1"	"EPHB1"	"TK"	146.41	"27.52%"	4	4	14	56	2.89e+10	545	61.4	7.77	"Syn1"	2	"Syn1"	1	1.113	22.3	4	"Syn1_2/Syn1_1"	0.154453592679872
"B3KTB2"	"Ephrin type-B receptor 1 OS"	"EPHB1"	"EPHB1"	"TK"	146.41	"27.52%"	4	4	14	56	2.89e+10	545	61.4	7.77	"Syn1"	3	"Syn1"	1	1.057	15.4	4	"Syn1_3/Syn1_1"	0.0799753767205959
"B3KTB2"	"Ephrin type-B receptor 1 OS"	"EPHB1"	"EPHB1"	"TK"	146.41	"27.52%"	4	4	14	56	2.89e+10	545	61.4	7.77	"Syn5"	1	"Syn1"	1	2.042	15	4	"Syn5_1/Syn1_1"	1.02998286621571
"B3KTB2"	"Ephrin type-B receptor 1 OS"	"EPHB1"	"EPHB1"	"TK"	146.41	"27.52%"	4	4	14	56	2.89e+10	545	61.4	7.77	"Syn5"	1	"Syn1"	2	1.663	31.9	4	"Syn5_1/Syn1_2"	0.733788168625182
"B3KTB2"	"Ephrin type-B receptor 1 OS"	"EPHB1"	"EPHB1"	"TK"	146.41	"27.52%"	4	4	14	56	2.89e+10	545	61.4	7.77	"Syn5"	1	"Syn1"	3	2.467	30.7	4	"Syn5_1/Syn1_3"	1.30275771563804
"B3KTB2"	"Ephrin type-B receptor 1 OS"	"EPHB1"	"EPHB1"	"TK"	146.41	"27.52%"	4	4	14	56	2.89e+10	545	61.4	7.77	"Syn5"	2	"Syn1"	1	1.822	20.1	4	"Syn5_2/Syn1_1"	0.865522959139964
"B3KTB2"	"Ephrin type-B receptor 1 OS"	"EPHB1"	"EPHB1"	"TK"	146.41	"27.52%"	4	4	14	56	2.89e+10	545	61.4	7.77	"Syn5"	2	"Syn1"	2	1.407	30.2	4	"Syn5_2/Syn1_2"	0.492622328574446
"B3KTB2"	"Ephrin type-B receptor 1 OS"	"EPHB1"	"EPHB1"	"TK"	146.41	"27.52%"	4	4	14	56	2.89e+10	545	61.4	7.77	"Syn5"	2	"Syn1"	3	2.122	29.9	4	"Syn5_2/Syn1_3"	1.08542465625268
"B3KTB2"	"Ephrin type-B receptor 1 OS"	"EPHB1"	"EPHB1"	"TK"	146.41	"27.52%"	4	4	14	56	2.89e+10	545	61.4	7.77	"Syn5"	3	"Syn1"	1	1.909	27.7	4	"Syn5_3/Syn1_1"	0.932817102741851
"B3KTB2"	"Ephrin type-B receptor 1 OS"	"EPHB1"	"EPHB1"	"TK"	146.41	"27.52%"	4	4	14	56	2.89e+10	545	61.4	7.77	"Syn5"	3	"Syn1"	2	1.58	57.1	4	"Syn5_3/Syn1_2"	0.659924558402378
"B3KTB2"	"Ephrin type-B receptor 1 OS"	"EPHB1"	"EPHB1"	"TK"	146.41	"27.52%"	4	4	14	56	2.89e+10	545	61.4	7.77	"Syn5"	3	"Syn1"	3	2.36	50.3	4	"Syn5_3/Syn1_3"	1.23878685958712
"B4DF52"	"Protein kinase C theta type OS"	"PRKCQ"	"KPCT"	"AGC"	7.74	"4.13%"	3	1	2	3	1.43e+09	581	67.5	7.56	"Syn1"	2	"Syn1"	1	0.91	NA	1	"Syn1_2/Syn1_1"	-0.136061549576028
"B4DF52"	"Protein kinase C theta type OS"	"PRKCQ"	"KPCT"	"AGC"	7.74	"4.13%"	3	1	2	3	1.43e+09	581	67.5	7.56	"Syn1"	3	"Syn1"	1	1.286	NA	1	"Syn1_3/Syn1_1"	0.36289064266586
"B4DF52"	"Protein kinase C theta type OS"	"PRKCQ"	"KPCT"	"AGC"	7.74	"4.13%"	3	1	2	3	1.43e+09	581	67.5	7.56	"Syn5"	1	"Syn1"	1	1.136	NA	1	"Syn5_1/Syn1_1"	0.183962834842595
"B4DF52"	"Protein kinase C theta type OS"	"PRKCQ"	"KPCT"	"AGC"	7.74	"4.13%"	3	1	2	3	1.43e+09	581	67.5	7.56	"Syn5"	1	"Syn1"	2	1.032	NA	1	"Syn5_1/Syn1_2"	0.0454429707611671
"B4DF52"	"Protein kinase C theta type OS"	"PRKCQ"	"KPCT"	"AGC"	7.74	"4.13%"	3	1	2	3	1.43e+09	581	67.5	7.56	"Syn5"	1	"Syn1"	3	1.06	NA	1	"Syn5_1/Syn1_3"	0.0840642647884746
"B4DF52"	"Protein kinase C theta type OS"	"PRKCQ"	"KPCT"	"AGC"	7.74	"4.13%"	3	1	2	3	1.43e+09	581	67.5	7.56	"Syn5"	2	"Syn1"	1	1.221	NA	1	"Syn5_2/Syn1_1"	0.288063200325316
"B4DF52"	"Protein kinase C theta type OS"	"PRKCQ"	"KPCT"	"AGC"	7.74	"4.13%"	3	1	2	3	1.43e+09	581	67.5	7.56	"Syn5"	2	"Syn1"	2	1.122	NA	1	"Syn5_2/Syn1_2"	0.166072675946706
"B4DF52"	"Protein kinase C theta type OS"	"PRKCQ"	"KPCT"	"AGC"	7.74	"4.13%"	3	1	2	3	1.43e+09	581	67.5	7.56	"Syn5"	2	"Syn1"	3	1.121	NA	1	"Syn5_2/Syn1_3"	0.16478627814334
"B4DF52"	"Protein kinase C theta type OS"	"PRKCQ"	"KPCT"	"AGC"	7.74	"4.13%"	3	1	2	3	1.43e+09	581	67.5	7.56	"Syn5"	3	"Syn1"	1	0.892	NA	1	"Syn5_3/Syn1_1"	-0.164884384741782
"B4DF52"	"Protein kinase C theta type OS"	"PRKCQ"	"KPCT"	"AGC"	7.74	"4.13%"	3	1	2	3	1.43e+09	581	67.5	7.56	"Syn5"	3	"Syn1"	2	0.805	NA	1	"Syn5_3/Syn1_2"	-0.312939311660108
"B4DF52"	"Protein kinase C theta type OS"	"PRKCQ"	"KPCT"	"AGC"	7.74	"4.13%"	3	1	2	3	1.43e+09	581	67.5	7.56	"Syn5"	3	"Syn1"	3	0.85	NA	1	"Syn5_3/Syn1_3"	-0.234465253637023
"B4DGX2"	"Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha OS"	"PIP4K2A"	"PI42A"	"Metabolic"	56.3	"37.18%"	6	6	12	24	2.94e+09	347	39.8	6.21	"Syn1"	2	"Syn1"	1	0.893	19.7	6	"Syn1_2/Syn1_1"	-0.163267919540864
"B4DGX2"	"Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha OS"	"PIP4K2A"	"PI42A"	"Metabolic"	56.3	"37.18%"	6	6	12	24	2.94e+09	347	39.8	6.21	"Syn1"	3	"Syn1"	1	0.79	15.9	6	"Syn1_3/Syn1_1"	-0.340075441597622
"B4DGX2"	"Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha OS"	"PIP4K2A"	"PI42A"	"Metabolic"	56.3	"37.18%"	6	6	12	24	2.94e+09	347	39.8	6.21	"Syn5"	1	"Syn1"	1	0.745	13.7	6	"Syn5_1/Syn1_1"	-0.424687669312563
"B4DGX2"	"Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha OS"	"PIP4K2A"	"PI42A"	"Metabolic"	56.3	"37.18%"	6	6	12	24	2.94e+09	347	39.8	6.21	"Syn5"	1	"Syn1"	2	0.905	12.1	6	"Syn5_1/Syn1_2"	-0.144010302691519
"B4DGX2"	"Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha OS"	"PIP4K2A"	"PI42A"	"Metabolic"	56.3	"37.18%"	6	6	12	24	2.94e+09	347	39.8	6.21	"Syn5"	1	"Syn1"	3	0.807	18.8	6	"Syn5_1/Syn1_3"	-0.309359421384307
"B4DGX2"	"Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha OS"	"PIP4K2A"	"PI42A"	"Metabolic"	56.3	"37.18%"	6	6	12	24	2.94e+09	347	39.8	6.21	"Syn5"	2	"Syn1"	1	0.986	48.3	6	"Syn5_2/Syn1_1"	-0.0203404482841755
"B4DGX2"	"Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha OS"	"PIP4K2A"	"PI42A"	"Metabolic"	56.3	"37.18%"	6	6	12	24	2.94e+09	347	39.8	6.21	"Syn5"	2	"Syn1"	2	0.953	27.2	6	"Syn5_2/Syn1_2"	-0.0694518807521452
"B4DGX2"	"Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha OS"	"PIP4K2A"	"PI42A"	"Metabolic"	56.3	"37.18%"	6	6	12	24	2.94e+09	347	39.8	6.21	"Syn5"	2	"Syn1"	3	0.948	42.2	6	"Syn5_2/Syn1_3"	-0.077041035763828
"B4DGX2"	"Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha OS"	"PIP4K2A"	"PI42A"	"Metabolic"	56.3	"37.18%"	6	6	12	24	2.94e+09	347	39.8	6.21	"Syn5"	3	"Syn1"	1	1.059	18.6	6	"Syn5_3/Syn1_1"	0.0827025893302493
"B4DGX2"	"Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha OS"	"PIP4K2A"	"PI42A"	"Metabolic"	56.3	"37.18%"	6	6	12	24	2.94e+09	347	39.8	6.21	"Syn5"	3	"Syn1"	2	1.113	15.9	6	"Syn5_3/Syn1_2"	0.154453592679872
"B4DGX2"	"Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha OS"	"PIP4K2A"	"PI42A"	"Metabolic"	56.3	"37.18%"	6	6	12	24	2.94e+09	347	39.8	6.21	"Syn5"	3	"Syn1"	3	1.154	4.7	6	"Syn5_3/Syn1_3"	0.206643223983395
"B4DLT4"	"Ribosomal protein S6 kinase beta-1 OS"	"RPS6KB1"	"KS6B1"	"AGC"	40.4	"14.62%"	7	7	8	17	8.89e+08	472	53	8.19	"Syn1"	2	"Syn1"	1	1.17	7.2	13	"Syn1_2/Syn1_1"	0.22650852980868
"B4DLT4"	"Ribosomal protein S6 kinase beta-1 OS"	"RPS6KB1"	"KS6B1"	"AGC"	40.4	"14.62%"	7	7	8	17	8.89e+08	472	53	8.19	"Syn1"	3	"Syn1"	1	0.957	9.9	13	"Syn1_3/Syn1_1"	-0.0634091701760615
"B4DLT4"	"Ribosomal protein S6 kinase beta-1 OS"	"RPS6KB1"	"KS6B1"	"AGC"	40.4	"14.62%"	7	7	8	17	8.89e+08	472	53	8.19	"Syn5"	1	"Syn1"	1	1.272	10.4	13	"Syn5_1/Syn1_1"	0.347098670622268
"B4DLT4"	"Ribosomal protein S6 kinase beta-1 OS"	"RPS6KB1"	"KS6B1"	"AGC"	40.4	"14.62%"	7	7	8	17	8.89e+08	472	53	8.19	"Syn5"	1	"Syn1"	2	1.119	12.6	13	"Syn5_1/Syn1_2"	0.162210036314307
"B4DLT4"	"Ribosomal protein S6 kinase beta-1 OS"	"RPS6KB1"	"KS6B1"	"AGC"	40.4	"14.62%"	7	7	8	17	8.89e+08	472	53	8.19	"Syn5"	1	"Syn1"	3	1.535	15.8	13	"Syn5_1/Syn1_3"	0.618238655595455
"B4DLT4"	"Ribosomal protein S6 kinase beta-1 OS"	"RPS6KB1"	"KS6B1"	"AGC"	40.4	"14.62%"	7	7	8	17	8.89e+08	472	53	8.19	"Syn5"	2	"Syn1"	1	1.112	18.9	13	"Syn5_2/Syn1_1"	0.153156788061421
"B4DLT4"	"Ribosomal protein S6 kinase beta-1 OS"	"RPS6KB1"	"KS6B1"	"AGC"	40.4	"14.62%"	7	7	8	17	8.89e+08	472	53	8.19	"Syn5"	2	"Syn1"	2	1.031	12.6	13	"Syn5_2/Syn1_2"	0.0440443327060212
"B4DLT4"	"Ribosomal protein S6 kinase beta-1 OS"	"RPS6KB1"	"KS6B1"	"AGC"	40.4	"14.62%"	7	7	8	17	8.89e+08	472	53	8.19	"Syn5"	2	"Syn1"	3	1.315	13.4	13	"Syn5_2/Syn1_3"	0.395062799517578
"B4DLT4"	"Ribosomal protein S6 kinase beta-1 OS"	"RPS6KB1"	"KS6B1"	"AGC"	40.4	"14.62%"	7	7	8	17	8.89e+08	472	53	8.19	"Syn5"	3	"Syn1"	1	1.312	14.3	13	"Syn5_3/Syn1_1"	0.391767719955997
"B4DLT4"	"Ribosomal protein S6 kinase beta-1 OS"	"RPS6KB1"	"KS6B1"	"AGC"	40.4	"14.62%"	7	7	8	17	8.89e+08	472	53	8.19	"Syn5"	3	"Syn1"	2	1.291	14.2	13	"Syn5_3/Syn1_2"	0.368489000645104
"B4DLT4"	"Ribosomal protein S6 kinase beta-1 OS"	"RPS6KB1"	"KS6B1"	"AGC"	40.4	"14.62%"	7	7	8	17	8.89e+08	472	53	8.19	"Syn5"	3	"Syn1"	3	1.647	26.7	13	"Syn5_3/Syn1_3"	0.719840555064268
"B4DR80"	"Serine/threonine-protein kinase 24 12 kDa subunit OS"	"STK24"	"STK24"	"STE"	91.99	"32.52%"	6	9	11	39	1.24e+09	412	45.8	5.58	"Syn1"	2	"Syn1"	1	0.927	27.1	24	"Syn1_2/Syn1_1"	-0.109358756036556
"B4DR80"	"Serine/threonine-protein kinase 24 12 kDa subunit OS"	"STK24"	"STK24"	"STE"	91.99	"32.52%"	6	9	11	39	1.24e+09	412	45.8	5.58	"Syn1"	3	"Syn1"	1	1.034	13.8	24	"Syn1_3/Syn1_1"	0.0482361856528476
"B4DR80"	"Serine/threonine-protein kinase 24 12 kDa subunit OS"	"STK24"	"STK24"	"STE"	91.99	"32.52%"	6	9	11	39	1.24e+09	412	45.8	5.58	"Syn5"	1	"Syn1"	1	0.895	19.6	24	"Syn5_1/Syn1_1"	-0.160040412510468
"B4DR80"	"Serine/threonine-protein kinase 24 12 kDa subunit OS"	"STK24"	"STK24"	"STE"	91.99	"32.52%"	6	9	11	39	1.24e+09	412	45.8	5.58	"Syn5"	1	"Syn1"	2	0.808	15.7	24	"Syn5_1/Syn1_2"	-0.307572801910292
"B4DR80"	"Serine/threonine-protein kinase 24 12 kDa subunit OS"	"STK24"	"STK24"	"STE"	91.99	"32.52%"	6	9	11	39	1.24e+09	412	45.8	5.58	"Syn5"	1	"Syn1"	3	0.988	12.9	24	"Syn5_1/Syn1_3"	-0.0174170530774094
"B4DR80"	"Serine/threonine-protein kinase 24 12 kDa subunit OS"	"STK24"	"STK24"	"STE"	91.99	"32.52%"	6	9	11	39	1.24e+09	412	45.8	5.58	"Syn5"	2	"Syn1"	1	0.855	20.1	24	"Syn5_2/Syn1_1"	-0.226003674888827
"B4DR80"	"Serine/threonine-protein kinase 24 12 kDa subunit OS"	"STK24"	"STK24"	"STE"	91.99	"32.52%"	6	9	11	39	1.24e+09	412	45.8	5.58	"Syn5"	2	"Syn1"	2	0.908	22.7	24	"Syn5_2/Syn1_2"	-0.139235797371172
